"Rows written","Length in tokens","Paragraph text"
"0","267","Emacs is the advanced, extensible, customizable, self-documenting editor.  This manual describes how to edit with Emacs and some of the ways to customize it; it corresponds to GNU Emacs version 28.2. For information on extending Emacs, see Emacs Lisp in The Emacs Lisp Reference Manual. This is the GNU Emacs Manual, updated for Emacs version 28.2. Copyright © 1985–1987, 1993–2022 Free Software Foundation, Inc. Permission is granted to copy, distribute and/or modify this document under the terms of the GNU Free Documentation License, Version 1.3 or any later version published by the Free Software Foundation; with the Invariant Sections being “The GNU Manifesto,” “Distribution” and “GNU GENERAL PUBLIC LICENSE,” with the Front-Cover Texts being “A GNU Manual,” and with the Back-Cover Texts as in (a) below.  A copy of the license is included in the section entitled “GNU Free Documentation License.” (a) The FSF’s Back-Cover Text is: “You have the freedom to copy and modify this GNU manual.  Buying copies from the FSF supports it in developing GNU and promoting software freedom.”"
"1","496","GNU Emacs is free software; this means that everyone is free to use it and free to redistribute it under certain conditions.  GNU Emacs is not in the public domain; it is copyrighted and there are restrictions on its distribution, but these restrictions are designed to permit everything that a good cooperating citizen would want to do. What is not allowed is to try to prevent others from further sharing any version of GNU Emacs that they might get from you.  The precise conditions are found in the GNU General Public License that comes with Emacs and also appears in this manual1. See GNU GENERAL PUBLIC LICENSE. One way to get a copy of GNU Emacs is from someone else who has it. You need not ask for our permission to do so, or tell anyone else; just copy it.  If you have access to the Internet, you can get the latest distribution version of GNU Emacs by anonymous FTP; see https://www.gnu.org/software/emacs on our website for more information. You may also receive GNU Emacs when you buy a computer.  Computer manufacturers are free to distribute copies on the same terms that apply to everyone else.  These terms require them to give you the full sources, including whatever changes they may have made, and to permit you to redistribute the GNU Emacs received from them under the usual terms of the General Public License.  In other words, the program must be free for you when you get it, not just free for the manufacturer. If you find GNU Emacs useful, please send a donation to the Free Software Foundation to support our work.  Donations to the Free Software Foundation are tax-deductible in the US.  If you use GNU Emacs at your workplace, please suggest that the company make a donation. To donate, see https://my.fsf.org/donate/. For other ways in which you can help, see https://www.gnu.org/help/help.html. We also sell hardcopy versions of this manual and An Introduction to Programming in Emacs Lisp, by Robert J. Chassell. You can visit our online store at https://shop.fsf.org/. The income from sales goes to support the foundation’s purpose: the development of new free software, and improvements to our existing programs including GNU Emacs. If you need to contact the Free Software Foundation, see https://www.fsf.org/about/contact/, or write to"
"2","418","You are reading about GNU Emacs, the GNU incarnation of the advanced, self-documenting, customizable, extensible editor Emacs. (The ‘G’ in GNU (GNU’s Not Unix) is not silent.) We call Emacs advanced because it can do much more than simple insertion and deletion of text.  It can control subprocesses, indent programs automatically, show multiple files at once, edit remote files like they were local files, and more.  Emacs editing commands operate in terms of characters, words, lines, sentences, paragraphs, and pages, as well as expressions and comments in various programming languages. Self-documenting means that at any time you can use special commands, known as help commands, to find out what your options are, or to find out what any command does, or to find all the commands that pertain to a given topic.  See Help. Customizable means that you can easily alter the behavior of Emacs commands in simple ways.  For instance, if you use a programming language in which comments start with ‘<**’ and end with ‘**>’, you can tell the Emacs comment manipulation commands to use those strings (see Manipulating Comments).  To take another example, you can rebind the basic cursor motion commands (up, down, left and right) to any keys on the keyboard that you find comfortable. See Customization. Extensible means that you can go beyond simple customization and create entirely new commands.  New commands are simply programs written in the Lisp language, which are run by Emacs’s own Lisp interpreter.  Existing commands can even be redefined in the middle of an editing session, without having to restart Emacs.  Most of the editing commands in Emacs are written in Lisp; the few exceptions could have been written in Lisp but use C instead for efficiency. Writing an extension is programming, but non-programmers can use it afterwards.  See Preface in An Introduction to Programming in Emacs Lisp, if you want to learn Emacs Lisp programming."
"3","547","On a graphical display, such as on GNU/Linux using the X Window System, Emacs occupies a graphical window.  On a text terminal, Emacs occupies the entire terminal screen.  We will use the term frame to mean a graphical window or terminal screen occupied by Emacs.  Emacs behaves very similarly on both kinds of frames.  It normally starts out with just one frame, but you can create additional frames if you wish (see Frames and Graphical Displays). Each frame consists of several distinct regions.  At the top of the frame is a menu bar, which allows you to access commands via a series of menus.  On a graphical display, directly below the menu bar is a tool bar, a row of icons that perform editing commands when you click on them.  At the very bottom of the frame is an echo area, where informative messages are displayed and where you enter information when Emacs asks for it. The main area of the frame, below the tool bar (if one exists) and above the echo area, is called the window.  Henceforth in this manual, we will use the word “window” in this sense.  Graphical display systems commonly use the word “window” with a different meaning; but, as stated above, we refer to those graphical windows as “frames”. An Emacs window is where the buffer—the text or other graphics you are editing or viewing—is displayed.  On a graphical display, the window possesses a scroll bar on one side, which can be used to scroll through the buffer.  The last line of the window is a mode line.  This displays various information about what is going on in the buffer, such as whether there are unsaved changes, the editing modes that are in use, the current line number, and so forth. When you start Emacs, there is normally only one window in the frame.  However, you can subdivide this window horizontally or vertically to create multiple windows, each of which can independently display a buffer (see Multiple Windows). At any time, one window is the selected window.  On a graphical display, the selected window shows a more prominent cursor (usually solid and blinking); other windows show a less prominent cursor (usually a hollow box).  On a text terminal, there is only one cursor, which is shown in the selected window.  The buffer displayed in the selected window is called the current buffer, and it is where editing happens.  Most Emacs commands implicitly apply to the current buffer; the text displayed in unselected windows is mostly visible for reference.  If you use multiple frames on a graphical display, selecting a particular frame selects a window in that frame."
"4","293","The cursor in the selected window shows the location where most editing commands take effect, which is called point2.  Many Emacs commands move point to different places in the buffer; for example, you can place point by clicking mouse button 1 (normally the left button) at the desired location. By default, the cursor in the selected window is drawn as a solid block and appears to be on a character, but you should think of point as between two characters; it is situated before the character under the cursor.  For example, if your text looks like ‘frob’ with the cursor over the ‘b’, then point is between the ‘o’ and the ‘b’.  If you insert the character ‘!’ at that position, the result is ‘fro!b’, with point between the ‘!’  and the ‘b’.  Thus, the cursor remains over the ‘b’, as before. If you are editing several files in Emacs, each in its own buffer, each buffer has its own value of point.  A buffer that is not currently displayed remembers its value of point if you later display it again.  Furthermore, if a buffer is displayed in multiple windows, each of those windows has its own value of point. See Displaying the Cursor, for options that control how Emacs displays the cursor."
"5","580","The line at the very bottom of the frame is the echo area.  It is used to display small amounts of text for various purposes. The echo area is so-named because one of the things it is used for is echoing, which means displaying the characters of a multi-character command as you type.  Single-character commands are not echoed.  Multi-character commands (see Keys) are echoed if you pause for more than a second in the middle of a command.  Emacs then echoes all the characters of the command so far, to prompt you for the rest.  Once echoing has started, the rest of the command echoes immediately as you type it.  This behavior is designed to give confident users fast response, while giving hesitant users maximum feedback. The echo area is also used to display an error message when a command cannot do its job.  Error messages may be accompanied by beeping or by flashing the screen. Some commands display informative messages in the echo area to tell you what the command has done, or to provide you with some specific information.  These informative messages, unlike error messages, are not accompanied with a beep or flash.  For example, C-x = (hold down Ctrl and type x, then let go of Ctrl and type =) displays a message describing the character at point, its position in the buffer, and its current column in the window. Commands that take a long time often display messages ending in ‘...’ while they are working (sometimes also indicating how much progress has been made, as a percentage), and add ‘done’ when they are finished. Informative echo area messages are saved in a special buffer named *Messages*.  (We have not explained buffers yet; see Using Multiple Buffers, for more information about them.)  If you miss a message that appeared briefly on the screen, you can switch to the *Messages* buffer to see it again.  The *Messages* buffer is limited to a certain number of lines, specified by the variable message-log-max.  (We have not explained variables either; see Variables, for more information about them.)  Beyond this limit, one line is deleted from the beginning whenever a new message line is added at the end. See Customization of Display, for options that control how Emacs uses the echo area. The echo area is also used to display the minibuffer, a special window where you can input arguments to commands, such as the name of a file to be edited.  When the minibuffer is in use, the text displayed in the echo area begins with a prompt string, and the active cursor appears within the minibuffer, which is temporarily considered the selected window.  You can always get out of the minibuffer by typing C-g.  See The Minibuffer."
"6","1334","At the bottom of each window is a mode line, which describes what is going on in the current buffer.  When there is only one window, the mode line appears right above the echo area; it is the next-to-last line in the frame.  On a graphical display, the mode line is drawn with a 3D box appearance.  Emacs also usually draws the mode line of the selected window with a different color from that of unselected windows, in order to make it stand out. The text displayed in the mode line has the following format: On a text terminal, this text is followed by a series of dashes extending to the right edge of the window.  These dashes are omitted on a graphical display. The cs string and the colon character after it describe the character set and newline convention used for the current buffer. Normally, Emacs automatically handles these settings for you, but it is sometimes useful to have this information. cs describes the character set of the text in the buffer (see Coding Systems).  If it is a dash (‘-’), that indicates no special character set handling (with the possible exception of end-of-line conventions, described in the next paragraph).  ‘=’ means no conversion whatsoever, and is usually used for files containing non-textual data.  Other characters represent various coding systems—for example, ‘1’ represents ISO Latin-1. On a text terminal, cs is preceded by two additional characters that describe the coding systems for keyboard input and terminal output.  Furthermore, if you are using an input method, cs is preceded by a string that identifies the input method (see Input Methods). The character after cs is usually a colon.  If a different string is displayed, that indicates a nontrivial end-of-line convention for encoding a file.  Usually, lines of text are separated by newline characters in a file, but two other conventions are sometimes used.  The MS-DOS convention uses a carriage return character followed by a linefeed character; when editing such files, the colon changes to either a backslash (‘\’) or ‘(DOS)’, depending on the operating system.  Another convention, employed by older Macintosh systems, uses a carriage return character instead of a newline; when editing such files, the colon changes to either a forward slash (‘/’) or ‘(Mac)’.  On some systems, Emacs displays ‘(Unix)’ instead of the colon for files that use newline as the line separator. On frames created for emacsclient (see Invoking emacsclient), the next character is ‘@’.  This indication is typical for frames of an Emacs process running as a daemon (see Using Emacs as a Server). The next element on the mode line is the string indicated by ch.  This shows two dashes (‘--’) if the buffer displayed in the window has the same contents as the corresponding file on the disk; i.e., if the buffer is unmodified.  If the buffer is modified, it shows two stars (‘**’).  For a read-only buffer, it shows ‘%*’ if the buffer is modified, and ‘%%’ otherwise. The character after ch is normally a dash (‘-’). However, if default-directory (see File Names) for the current buffer is on a remote machine, ‘@’ is displayed instead. fr gives the selected frame name (see Frames and Graphical Displays).  It appears only on text terminals.  The initial frame’s name is ‘F1’. buf is the name of the buffer displayed in the window. Usually, this is the same as the name of a file you are editing. See Using Multiple Buffers. pos tells you whether there is additional text above the top of the window, or below the bottom.  If your buffer is small and all of it is visible in the window, pos is ‘All’.  Otherwise, it is ‘Top’ if you are looking at the beginning of the buffer, ‘Bot’ if you are looking at the end of the buffer, or ‘nn%’, where nn is the percentage of the buffer above the top of the window.  With Size Indication mode, you can display the size of the buffer as well.  See Optional Mode Line Features. line is the character ‘L’ followed by the line number at point.  (You can display the current column number too, by turning on Column Number mode.  See Optional Mode Line Features.) major is the name of the major mode used in the buffer. A major mode is a principal editing mode for the buffer, such as Text mode, Lisp mode, C mode, and so forth.  See Major Modes.  Some major modes display additional information after the major mode name. For example, Compilation buffers and Shell buffers display the status of the subprocess. minor is a list of some of the enabled minor modes, which are optional editing modes that provide additional features on top of the major mode.  See Minor Modes. Some features are listed together with the minor modes whenever they are turned on, even though they are not really minor modes. ‘Narrow’ means that the buffer being displayed has editing restricted to only a portion of its text (see Narrowing). ‘Def’ means that a keyboard macro is currently being defined (see Keyboard Macros). In addition, if Emacs is inside a recursive editing level, square brackets (‘[…]’) appear around the parentheses that surround the modes.  If Emacs is in one recursive editing level within another, double square brackets appear, and so on.  Since recursive editing levels affect Emacs globally, such square brackets appear in the mode line of every window.  See Recursive Editing Levels. You can change the appearance of the mode line as well as the format of its contents.  See Optional Mode Line Features.  In addition, the mode line is mouse-sensitive; clicking on different parts of the mode line performs various commands.  See Mode Line Mouse Commands.  Also, hovering the mouse pointer above mouse-sensitive portions of the mode line shows tooltips (see Tooltips) with information about commands you can invoke by clicking on the mode line."
"7","523","Each Emacs frame normally has a menu bar at the top which you can use to perform common operations.  There’s no need to list them here, as you can more easily see them yourself. On a display that supports a mouse, you can use the mouse to choose a command from the menu bar.  An arrow on the right edge of a menu item means it leads to a subsidiary menu, or submenu.  A ‘...’ at the end of a menu item means that the command will prompt you for further input before it actually does anything. Some of the commands in the menu bar have ordinary key bindings as well; if so, a key binding is shown after the item itself.  To view the full command name and documentation for a menu item, type C-h k, and then select the menu bar with the mouse in the usual way (see Documentation for a Key). Instead of using the mouse, you can also invoke the first menu bar item by pressing F10 (to run the command menu-bar-open). You can then navigate the menus with the arrow keys or with C-b, C-f (left/right), C-p, and C-n (up/down).  To activate a selected menu item, press RET; to cancel menu navigation, press C-g or ESC ESC ESC. (However, note that when Emacs was built with a GUI toolkit, the menus are drawn and controlled by the toolkit, and the key sequences to cancel menu navigation might be different from the above description.) On a text terminal, you can optionally access the menu-bar menus in the echo area.  To this end, customize the variable tty-menu-open-use-tmm to a non-nil value.  Then typing F10 will run the command tmm-menubar instead of dropping down the menu.  (You can also type M-`, which always invokes tmm-menubar.)  tmm-menubar lets you select a menu item with the keyboard.  A provisional choice appears in the echo area. You can use the up and down arrow keys to move through the menu to different items, and then you can type RET to select the item. Each menu item is also designated by a letter or digit (usually the initial of some word in the item’s name).  This letter or digit is separated from the item name by ‘==>’.  You can type the item’s letter or digit to select the item."
"8","535","GNU Emacs is primarily designed for use with the keyboard.  While it is possible to use the mouse to issue editing commands through the menu bar and tool bar, that is not as efficient as using the keyboard. Therefore, this manual mainly documents how to edit with the keyboard. Keyboard input into Emacs is based on a heavily-extended version of ASCII.  Simple characters, like ‘a’, ‘B’, ‘3’, ‘=’, and the space character (denoted as SPC), are entered by typing the corresponding key.  Control characters, such as RET, TAB, DEL, ESC, F1, Home, and LEFT, are also entered this way, as are certain characters found on non-English keyboards (see International Character Set Support). Emacs also recognizes control characters that are entered using modifier keys.  Two commonly-used modifier keys are Control (usually labeled Ctrl), and Meta (usually labeled Alt)3.  For example, Control-a is entered by holding down the Ctrl key while pressing a; we will refer to this as C-a for short.  Similarly, Meta-a, or M-a for short, is entered by holding down the Alt key and pressing a.  Modifier keys can also be applied to non-alphanumerical characters, e.g., C-F1 or M-LEFT. You can also type Meta characters using two-character sequences starting with ESC.  Thus, you can enter M-a by typing ESC a.  You can enter C-M-a (holding down both Ctrl and Alt, then pressing a) by typing ESC C-a.  Unlike Meta, ESC is entered as a separate character.  You don’t hold down ESC while typing the next character; instead, press ESC and release it, then enter the next character.  This feature is useful on certain text terminals where the Meta key does not function reliably. Emacs supports 3 additional modifier keys, see Modifier Keys. On graphical displays, the window manager might block some keyboard inputs, including M-TAB, M-SPC, C-M-d and C-M-l.  If you have this problem, you can either customize your window manager to not block those keys, or rebind the affected Emacs commands (see Customization). Simple characters and control characters, as well as certain non-keyboard inputs such as mouse clicks, are collectively referred to as input events.  For details about how Emacs internally handles input events, see Input Events in The Emacs Lisp Reference Manual."
"9","621","Some Emacs commands are invoked by just one input event; for example, C-f moves forward one character in the buffer.  Other commands take two or more input events to invoke, such as C-x C-f and C-x 4 C-f. A key sequence, or key for short, is a sequence of one or more input events that is meaningful as a unit.  If a key sequence invokes a command, we call it a complete key; for example, C-f, C-x C-f and C-x 4 C-f are all complete keys. If a key sequence isn’t long enough to invoke a command, we call it a prefix key; from the preceding example, we see that C-x and C-x 4 are prefix keys.  Every key sequence is either a complete key or a prefix key. A prefix key combines with the following input event to make a longer key sequence.  For example, C-x is a prefix key, so typing C-x alone does not invoke a command; instead, Emacs waits for further input (if you pause for longer than a second, it echoes the C-x key to prompt for that input; see The Echo Area). C-x combines with the next input event to make a two-event key sequence, which could itself be a prefix key (such as C-x 4), or a complete key (such as C-x C-f).  There is no limit to the length of key sequences, but in practice they are seldom longer than three or four input events. You can’t add input events onto a complete key.  For example, because C-f is a complete key, the two-event sequence C-f C-k is two key sequences, not one. By default, the prefix keys in Emacs are C-c, C-h, C-x, C-x RET, C-x @, C-x a, C-x n, C-x r, C-x t, C-x v, C-x 4, C-x 5, C-x 6, ESC, and M-g.  (F1 and F2 are aliases for C-h and C-x 6.)  This list is not cast in stone; if you customize Emacs, you can make new prefix keys. You could even eliminate some of the standard ones, though this is not recommended for most users; for example, if you remove the prefix definition of C-x 4, then C-x 4 C-f becomes an invalid key sequence.  See Customizing Key Bindings. Typing the help character (C-h or F1) after a prefix key displays a list of the commands starting with that prefix.  The sole exception to this rule is ESC: ESC C-h is equivalent to C-M-h, which does something else entirely.  You can, however, use F1 to display a list of commands starting with ESC."
